title,year,desc,cast,director,genres,rating
The Last Voyage of the Demeter,2023,"Based on a single chapter, the Captain's Log, from Bram Stoker's classic 1897 novel ""Dracula"", the story is set aboard the Russian schooner Demeter, which was chartered to carry private cargo - 24 unmarked wooden crates - from Carpathia to London. The film will detail the strange events that befell the doomed crew as they attempt to survive the ocean voyage, stalked each night by a terrifying presence on board the ship. When it finally arrived near Whitby Harbour, it was derelict. There was no trace of the crew.","Corey Hawkins, Aisling Franciosi, Liam Cunningham, David Dastmalchian",André Øvredal,"['Fantasy', 'Horror']",R
The Secret Kingdom,2023,"Join Peter and Verity on a magical journey, as they embark on a quest to unite five mystical treasures to defeat an ancient enemy - the evil Shroud, and save an enchanted land in this thrilling fantasy adventure fit for the whole family!","Alyla Browne, Alice Parkinson, Sam Everingham, Gabrielle Chan",Matt Drummond,"['Adventure', 'Family']",PG
The Unlikely Pilgrimage of Harold Fry,2023,"Harold is an ordinary man who has passed through life, living on the side lines, until he goes to post a letter one day...and just keeps walking.","Jim Broadbent, Penelope Wilton, Earl Cave, Linda Bassett",Hettie Macdonald,['Drama'],NR
A Haunting in Venice,2023,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.","Kelly Reilly, Michelle Yeoh, Kenneth Branagh, Jamie Dornan",Kenneth Branagh,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",PG-13
My Big Fat Greek Wedding 3,2023,"After travelling to Greece for a family reunion, a woman attempts to locate her deceased father's childhood friends.","Nia Vardalos, John Corbett, Andrea Martin, Elena Kampouris",Nia Vardalos,"['Comedy', 'Drama', 'Romance']",PG-13
Barbie,2023,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,"Margot Robbie, Ryan Gosling, America Ferrera, Kate McKinnon",Greta Gerwig,"['Adventure', 'Comedy', 'Fantasy']",PG-13
Mission: Impossible - Dead Reckoning Part One,2023,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",Christopher McQuarrie,"['Action', 'Adventure', 'Thriller']",PG-13
Gran Turismo : Based on A True Story,2023,A teenage Gran Turismo player wins a series of Nissan competitions and later becomes an actual professional race car driver.,"Djimon Hounsou, Orlando Bloom, David Harbour, Darren Barnet",Neill Blomkamp,"['Action', 'Adventure', 'Drama']",PG-13
The Equalizer 3,2023,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","Denzel Washington, Dakota Fanning, David Denman, Sonia Ammar",Antoine Fuqua,"['Action', 'Crime', 'Thriller']",R
Violent Night,2022,"On Christmas Eve, Santa Claus finds himself on a surprise mission to protect a group of hostages. When a group of mercenaries breaks into the compound of a rich family, they don't foresee Santa's combative skills. What follows is a holy but hostile night of gifts, guns, and gore.","David Harbour, John Leguizamo, Beverly D'Angelo, Alex Hassell",Tommy Wirkola,"['Action', 'Comedy', 'Thriller']",R
Spider-Man: Far From Home,2019,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",Jon Watts,"['Action', 'Adventure', 'Comedy']",PG-13
City of God,2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva",Fernando Meirelles,"['Crime', 'Drama']",R
